auction_id,market_number,market_description,market_population,bidding_units,small_market_indicator
102,PEA121,"Altoona, PA",490867,490, Y 
102,PEA122,"Madison, WI",488073,490, Y 
102,PEA123,"Mansfield, OH",486730,490, Y 
102,PEA124,"Olympia, WA",482135,480, Y 
102,PEA125,"Alton, IL",476174,480, Y 
102,PEA126,"Casa Grande, AZ",475024,480, Y 
102,PEA127,"Evansville, IN",474251,470, Y 
102,PEA128,"Macon, GA",472241,470, Y 
102,PEA129,"Springfield, IL",471823,470, Y 
102,PEA130,"Spokane, WA",471221,470, Y 
102,PEA131,"Sanford, NC",468358,470, Y 
102,PEA132,"Corpus Christi, TX",467429,470, Y 
102,PEA133,"Nacogdoches, TX",464704,460, Y 
102,PEA134,"Newark, OH",463800,460, Y 
102,PEA135,"Beaumont, TX",460666,460, Y 
102,PEA136,"Williamsport, PA",454792,450, Y 
102,PEA137,"Eau Claire, WI",452434,450, Y 
102,PEA138,"Burlington, VT",452191,450, Y 
102,PEA139,"Hot Springs, AR",443880,440, Y 
102,PEA140,"Fredericksburg, VA",438705,440, Y 
102,PEA141,"Brainerd, MN",435203,440, Y 
102,PEA142,"Merced, CA",430256,430, Y 
102,PEA143,"Keene, NH",427275,430, Y 
102,PEA144,"Paris, TX",423195,420, Y 
102,PEA145,"Columbia, TN",422947,420, Y 
102,PEA146,"Wilmington, NC",420413,420, Y 
102,PEA147,"Salisbury, MD",419355,420, Y 
102,PEA148,"Bellingham, WA",412316,410, Y 
102,PEA149,"Biloxi, MS",411066,410, Y 
102,PEA150,"Rolla, MO",405037,410, Y 
102,PEA151,"Winston-Salem, NC",398071,400, Y 
102,PEA152,"Tyler, TX",397075,400, Y 
102,PEA153,"Fond du Lac, WI",395357,400, Y 
102,PEA154,"Myrtle Beach, SC",394573,390, Y 
102,PEA155,"Appleton, WI",392660,390, Y 
102,PEA156,"Boise City, ID",392365,390, Y 
102,PEA157,"Yuma, AZ",390768,390, Y 
102,PEA158,"Helena, MT",378009,380, Y 
102,PEA159,"Valdosta, GA",373343,370, Y 
102,PEA160,"Victoria, TX",371551,370, Y 
102,PEA161,"Carbondale, IL",368043,370, Y 
102,PEA162,"Elizabethtown, KY",364517,360, Y 
102,PEA163,"Davenport, IA",363256,360, Y 
102,PEA164,"Montgomery, AL",363237,360, Y 
102,PEA165,"Rome, GA",362053,360, Y 
102,PEA166,"Redding, CA",361652,360, Y 
102,PEA167,"Harrisonburg, VA",360886,360, Y 
102,PEA168,"Peoria, IL",360552,360, Y 
102,PEA169,"Goldsboro, NC",358900,360, Y 
102,PEA170,"Dothan, AL",358396,360, Y 
102,PEA171,"Fort Smith, AR",356101,360, Y 
102,PEA172,"Duluth, MN",354182,350, Y 
102,PEA173,"Blacksburg, VA",352838,350, Y 
102,PEA174,"Springfield, MO",352596,350, Y 
102,PEA175,"Southaven, MS",349748,350, Y 
102,PEA176,"Ames, IA",348248,350, Y 
102,PEA177,"Savannah, GA",347611,350, Y 
102,PEA178,"Sedalia, MO",346580,350, Y 
102,PEA179,"Burlington, IA",346354,350, Y 
102,PEA180,"Flagstaff, AZ",345454,350, Y 
102,PEA181,"Texarkana, TX",343206,340, Y 
102,PEA182,"Cedar Rapids, IA",342108,340, Y 
102,PEA183,"Columbia, MO",340194,340, Y 
102,PEA184,"Ruston, LA",338416,340, Y 
102,PEA185,"Marquette, MI",335871,340, Y 
102,PEA186,"Rock Hill, SC",335865,340, Y 
102,PEA187,"Pocatello, ID",328567,330, Y 
102,PEA188,"Jamestown, NY",325075,330, Y 
102,PEA189,"Alexandria, LA",324637,320, Y 
102,PEA190,"Bozeman, MT",324077,320, Y 
102,PEA191,"Petersburg, VA",321175,320, Y 
102,PEA192,"Fayetteville, NC",319431,320, Y 
102,PEA193,"Saint Joseph, MO",318414,320, Y 
102,PEA194,"State College, PA",317863,320, Y 
102,PEA195,"Lewiston, ID",317751,320, Y 
102,PEA196,"Cape Girardeau, MO",315713,320, Y 
102,PEA197,"Wheeling, WV",312837,310, Y 
102,PEA198,"Jonesboro, AR",311312,310, Y 
102,PEA199,"Dalton, GA",310645,310, Y 
102,PEA200,"Danville, VA",310385,310, Y 
102,PEA201,"Eagle Pass, TX",304111,300, Y 
102,PEA202,"Columbus, GA",303722,300, Y 
102,PEA203,"Traverse City, MI",303041,300, Y 
102,PEA204,"Owensboro, KY",301206,300, Y 
102,PEA205,"Douglas City, CA",300915,300, Y 
102,PEA206,"Wenatchee, WA",300767,300, Y 
