auction_id,license,market,market_name,category
108,D46041-3,SD-041,Dewey,C3
108,D46102-1,SD-102,Oglala Lakota,C1
108,D46102-2,SD-102,Oglala Lakota,C2
108,D46102-3,SD-102,Oglala Lakota,C3
108,D46121-1,SD-121,Todd,C1
108,D46121-2,SD-121,Todd,C2
108,D46121-3,SD-121,Todd,C3
108,D46137-1,SD-137,Ziebach,C1
108,D46137-2,SD-137,Ziebach,C2
108,D46137-3,SD-137,Ziebach,C3
108,D48029-1,TX-029,Bexar,C1
108,D48029-2,TX-029,Bexar,C2
108,D48099-3,TX-099,Coryell,C3
108,D48193-3,TX-193,Hamilton,C3
108,D48201-1,TX-201,Harris,C1
108,D48201-2,TX-201,Harris,C2
108,D48201-3,TX-201,Harris,C3
108,D53033-1,WA-033,King,C1
